Benchmark,Link,Status
TruthfulQA,https://scholar.google.com/scholar?q=TruthfulQA%3A+Measuring+How+Models+Mimic+Hu...,"Valid - No ""Cited by"" found"
HaluEval,https://scholar.google.com/scholar?q=HaluEval%3A+A+Large-Scale+Hallucination+Eva...,"Valid - No ""Cited by"" found"
TRUE,https://scholar.google.com/scholar?q=TRUE%3A+Re-evaluating+Factual+Consistency+E...,"Valid - No ""Cited by"" found"
FIB,https://scholar.google.com/scholar?q=Evaluating+the+Factual+Consistency+of+Large...,"Valid - No ""Cited by"" found"
FEVER,https://scholar.google.com/scholar?q=FEVER%3A+a+Large-scale+Dataset+for+Fact+Ext...,"Valid - No ""Cited by"" found"
HalluLens,https://scholar.google.com/scholar?q=HalluLens%3A+LLM+Hallucination+Benchmark+Ba...,"Valid - No ""Cited by"" found"
FreshQA,https://scholar.google.com/scholar?q=FreshLLMs%3A+Refreshing+Large+Language+Mode...,"Valid - No ""Cited by"" found"
ETHICS,https://scholar.google.com/scholar?q=Aligning+AI+With+Shared+Human+Values+Hendry...,"Valid - No ""Cited by"" found"
Moral Stories,https://scholar.google.com/scholar?q=Moral+Stories+Situated+Reasoning+Norms+Inte...,"Valid - No ""Cited by"" found"
Jiminy Cricket,https://scholar.google.com/scholar?q=What+Would+Jiminy+Cricket+Do+Towards+Agents...,"Valid - No ""Cited by"" found"
SCRUPLES,https://scholar.google.com/scholar?q=Scruples+Corpus+Community+Ethical+Judgments...,"Valid - No ""Cited by"" found"
MoralBench,https://scholar.google.com/scholar?q=MoralBench+Moral+Evaluation+LLMs,"Valid - No ""Cited by"" found"
Social Chemistry 101,https://scholar.google.com/scholar?q=Social+Chemistry+101+Learning+Reason+Social...,"Valid - No ""Cited by"" found"
Delphi,https://scholar.google.com/scholar?q=Delphi+Towards+Machine+Ethics+and+Norms,"Valid - No ""Cited by"" found"
STORAL,https://scholar.google.com/scholar?q=Corpus+Understanding+Generating+Moral+Stori...,"Valid - No ""Cited by"" found"
Moral Integrity Corpus,https://scholar.google.com/scholar?q=Moral+Integrity+Corpus+Benchmark+Ethical+Di...,"Valid - No ""Cited by"" found"
TRIAGE,https://scholar.google.com/scholar?q=Medical+Triage+as+an+AI+Ethics+Benchmark,"Valid - No ""Cited by"" found"
RobustBench,https://scholar.google.com/scholar?q=RobustBench+a+standardized+adversarial+robu...,"Valid - No ""Cited by"" found"
AutoAttack,https://scholar.google.com/scholar?q=Reliable+evaluation+adversarial+robustness+...,"Valid - No ""Cited by"" found"
ImageNet-C / ImageNet-P,https://scholar.google.com/scholar?q=Benchmarking+Neural+Network+Robustness+Comm...,"Valid - No ""Cited by"" found"
WILDS,https://scholar.google.com/scholar?q=WILDS+Benchmark+in-the-Wild+Distribution+Sh...,"Valid - No ""Cited by"" found"
OoD-Bench,https://scholar.google.com/scholar?q=OoD-Bench+Quantifying+Understanding+Two+Dim...,"Valid - No ""Cited by"" found"
SoK: Certified Robustness,https://scholar.google.com/scholar?q=SoK+Certified+Robustness+Deep+Neural+Networ...,"Valid - No ""Cited by"" found"
Adversarial Robustness Benchmark,https://scholar.google.com/scholar?q=Benchmarking+Adversarial+Robustness+Image+C...,"Valid - No ""Cited by"" found"
GRB,https://scholar.google.com/scholar?q=Graph+Robustness+Benchmark+Adversarial+Robu...,"Valid - No ""Cited by"" found"
RealToxicityPrompts,https://scholar.google.com/scholar?q=RealToxicityPrompts+Evaluating+Neural+Toxic...,"Valid - No ""Cited by"" found"
SafetyBench,https://scholar.google.com/scholar?q=SafetyBench+Evaluating+Safety+Large+Languag...,"Valid - No ""Cited by"" found"
ToxiGen,https://scholar.google.com/scholar?q=ToxiGen+Large-Scale+Machine-Generated+Datas...,"Valid - No ""Cited by"" found"
BBQ,https://scholar.google.com/scholar?q=BBQ+Hand-Built+Bias+Benchmark+Question+Answ...,"Valid - No ""Cited by"" found"
BOLD,https://scholar.google.com/scholar?q=BOLD+Dataset+Metrics+Measuring+Biases+Open-...,"Valid - No ""Cited by"" found"
JailbreakBench,https://scholar.google.com/scholar?q=JailbreakBench+Open+Robustness+Benchmark+Ja...,"Valid - No ""Cited by"" found"
HarmBench,https://scholar.google.com/scholar?q=HarmBench+Standardized+Evaluation+Framework...,"Valid - No ""Cited by"" found"
DecodingTrust,https://scholar.google.com/scholar?q=DecodingTrust+Comprehensive+Assessment+Trus...,"Valid - No ""Cited by"" found"
AdvBench,https://scholar.google.com/scholar?q=Universal+Transferable+Adversarial+Attacks+...,"Valid - No ""Cited by"" found"
HarmfulQA,https://scholar.google.com/scholar?q=Red-Teaming+Large+Language+Models+Chain+Utt...,"Valid - No ""Cited by"" found"
DoNotAnswer,https://scholar.google.com/scholar?q=Do-Not-Answer+Dataset+Evaluating+Safeguards...,"Valid - No ""Cited by"" found"
SALAD-Bench,https://scholar.google.com/scholar?q=SALAD-Bench+Hierarchical+Comprehensive+Safe...,"Valid - No ""Cited by"" found"
MACHIAVELLI,https://scholar.google.com/scholar?q=Do+the+Rewards+Justify+the+Means+Measuring+...,"Valid - No ""Cited by"" found"
ELEPHANT,https://scholar.google.com/scholar?q=ELEPHANT+Measuring+and+Understanding+Social...,"Valid - No ""Cited by"" found"
OpenDeception,https://scholar.google.com/scholar?q=OpenDeception+Benchmarking+and+Investigatin...,"Valid - No ""Cited by"" found"
Goal Misgeneralization (Procgen),https://scholar.google.com/scholar?q=Goal+Misgeneralization+in+Deep+Reinforcemen...,"Valid - No ""Cited by"" found"
Goal Misgeneralization (Analysis),https://scholar.google.com/scholar?q=Goal+Misgeneralization+Why+Correct+Specific...,"Valid - No ""Cited by"" found"
IPS Index,https://scholar.google.com/scholar?q=Instrumental+Power-Seeking+Index+Novel+Benc...,"Valid - No ""Cited by"" found"
SycEval,https://scholar.google.com/scholar?q=SycEval+Evaluating+LLM+Sycophancy,"Valid - No ""Cited by"" found"
HELM Safety,https://scholar.google.com/scholar?q=HELM+Safety+Towards+Standardized+Safety+Eva...,"Valid - No ""Cited by"" found"
AIR-Bench 2024,https://scholar.google.com/scholar?q=AIR-Bench+2024+Safety+Benchmark+Risk+Catego...,"Valid - No ""Cited by"" found"
TrustLLM,https://scholar.google.com/scholar?q=TrustLLM+Trustworthiness+Large+Language+Mod...,"Valid - No ""Cited by"" found"
MLCommons AILuminate,https://scholar.google.com/scholar?q=AILuminate+Introducing+v1.0+AI+Risk+Reliabi...,"Valid - No ""Cited by"" found"
ALERT,https://scholar.google.com/scholar?q=ALERT+Comprehensive+Benchmark+Assessing+Lar...,"Valid - No ""Cited by"" found"
AgentHarm,https://scholar.google.com/scholar?q=AgentHarm+Benchmark+Measuring+Harmfulness+L...,"Valid - No ""Cited by"" found"
SimpleSafetyTest,https://scholar.google.com/scholar?q=SimpleSafetyTest+Universal+Safety+Testing+L...,"Valid - No ""Cited by"" found"
XSTest,https://scholar.google.com/scholar?q=XSTest+Test+Suite+Identifying+Exaggerated+S...,"Valid - No ""Cited by"" found"
AnthropicRedTeam,https://scholar.google.com/scholar?q=AnthropicRedTeam+Adversarial+Testing+Langua...,"Valid - No ""Cited by"" found"
BELLS,https://scholar.google.com/scholar?q=BELLS+Benchmarking+Emergent+Large+Language+...,"Valid - No ""Cited by"" found"
GaslightBench,https://scholar.google.com/scholar?q=GaslightBench+Quantifying+LLM+Susceptibilit...,"Valid - No ""Cited by"" found"
CoinRun,https://scholar.google.com/scholar?q=CoinRun+Quantifying+Generalization+Reinforc...,"Valid - No ""Cited by"" found"
HappyFaces,https://scholar.google.com/scholar?q=HappyFaces+Goal+Misgeneralization+Deep+Rein...,"Valid - No ""Cited by"" found"
WildBench,https://scholar.google.com/scholar?q=WildBench+Benchmarking+LLMs+Challenging+Tas...,"Valid - No ""Cited by"" found"
Perspective API Benchmark,https://scholar.google.com/scholar?q=Perspective+API+Machine+Learning+Reduce+Tox...,"Valid - No ""Cited by"" found"
MLCommons AI Safety v0.5,https://scholar.google.com/scholar?q=Introducing+v0.5+AI+Safety+Benchmark+MLComm...,"Valid - No ""Cited by"" found"
