Source paper,Technique,Model,Scale,Benchmark,Performance,scale_numeric,paper_id,technique_id,Performance_normalized
https://arxiv.org/pdf/2501.00656,Baseline,OLMO2,1B,BIO,74.11764705882354,1.0,f123a2ce,Baseline_f123a2ce,25.882352941176464
https://arxiv.org/pdf/2501.00656,DPO,OLMO2,1B,BIO,58.82352941176471,1.0,f123a2ce,DPO_f123a2ce,41.17647058823529
https://arxiv.org/pdf/2501.00656,SFT,OLMO2,1B,BIO,63.13725490196078,1.0,f123a2ce,SFT_f123a2ce,36.86274509803922
https://arxiv.org/pdf/2501.00656,Baseline,OLMO2,1B,CHEM,70.73170731707317,1.0,f123a2ce,Baseline_f123a2ce,29.268292682926827
https://arxiv.org/pdf/2501.00656,DPO,OLMO2,1B,CHEM,68.29268292682926,1.0,f123a2ce,DPO_f123a2ce,31.707317073170742
https://arxiv.org/pdf/2501.00656,SFT,OLMO2,1B,CHEM,69.51219512195121,1.0,f123a2ce,SFT_f123a2ce,30.48780487804879
https://arxiv.org/pdf/2501.00656,Baseline,OLMO2,1B,CYBER,76.57430730478589,1.0,f123a2ce,Baseline_f123a2ce,23.42569269521411
https://arxiv.org/pdf/2501.00656,DPO,OLMO2,1B,CYBER,72.29219143576826,1.0,f123a2ce,DPO_f123a2ce,27.70780856423174
https://arxiv.org/pdf/2501.00656,SFT,OLMO2,1B,CYBER,71.78841309823679,1.0,f123a2ce,SFT_f123a2ce,28.211586901763212
https://arxiv.org/pdf/2501.00656,Baseline,OLMO2,7B,BIO,56.07843137254902,7.0,f123a2ce,Baseline_f123a2ce,43.92156862745098
https://arxiv.org/pdf/2501.00656,DPO,OLMO2,7B,BIO,34.50980392156862,7.0,f123a2ce,DPO_f123a2ce,65.49019607843138
https://arxiv.org/pdf/2501.00656,SFT,OLMO2,7B,BIO,33.725490196078425,7.0,f123a2ce,SFT_f123a2ce,66.27450980392157
https://arxiv.org/pdf/2501.00656,Baseline,OLMO2,7B,CHEM,74.39024390243902,7.0,f123a2ce,Baseline_f123a2ce,25.609756097560975
https://arxiv.org/pdf/2501.00656,DPO,OLMO2,7B,CHEM,48.78048780487805,7.0,f123a2ce,DPO_f123a2ce,51.21951219512195
https://arxiv.org/pdf/2501.00656,SFT,OLMO2,7B,CHEM,54.87804878048781,7.0,f123a2ce,SFT_f123a2ce,45.12195121951219
https://arxiv.org/pdf/2501.00656,Baseline,OLMO2,7B,CYBER,66.24685138539043,7.0,f123a2ce,Baseline_f123a2ce,33.75314861460957
https://arxiv.org/pdf/2501.00656,DPO,OLMO2,7B,CYBER,55.16372795969773,7.0,f123a2ce,DPO_f123a2ce,44.83627204030227
https://arxiv.org/pdf/2501.00656,SFT,OLMO2,7B,CYBER,61.712846347607055,7.0,f123a2ce,SFT_f123a2ce,38.287153652392945
https://arxiv.org/pdf/2501.00656,Baseline,OLMO2,32B,BIO,41.56862745098039,32.0,f123a2ce,Baseline_f123a2ce,58.43137254901961
https://arxiv.org/pdf/2501.00656,DPO,OLMO2,32B,BIO,22.35294117647058,32.0,f123a2ce,DPO_f123a2ce,77.64705882352942
https://arxiv.org/pdf/2501.00656,SFT,OLMO2,32B,BIO,24.31372549019608,32.0,f123a2ce,SFT_f123a2ce,75.68627450980392
https://arxiv.org/pdf/2501.00656,Baseline,OLMO2,32B,CHEM,63.41463414634146,32.0,f123a2ce,Baseline_f123a2ce,36.58536585365854
https://arxiv.org/pdf/2501.00656,DPO,OLMO2,32B,CHEM,43.90243902439024,32.0,f123a2ce,DPO_f123a2ce,56.09756097560976
https://arxiv.org/pdf/2501.00656,SFT,OLMO2,32B,CHEM,47.56097560975609,32.0,f123a2ce,SFT_f123a2ce,52.43902439024391
https://arxiv.org/pdf/2501.00656,Baseline,OLMO2,32B,CYBER,70.52896725440806,32.0,f123a2ce,Baseline_f123a2ce,29.47103274559194
https://arxiv.org/pdf/2501.00656,DPO,OLMO2,32B,CYBER,55.41561712846348,32.0,f123a2ce,DPO_f123a2ce,44.58438287153652
https://arxiv.org/pdf/2501.00656,SFT,OLMO2,32B,CYBER,59.949622166246854,32.0,f123a2ce,SFT_f123a2ce,40.050377833753146
https://arxiv.org/pdf/2311.10702,Baseline,TULU 2,7B,BIO,85.09803921568627,7.0,d9032089,Baseline_d9032089,14.90196078431373
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,7B,BIO,36.47058823529412,7.0,d9032089,DPO_d9032089,63.52941176470588
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,BIO,44.70588235294117,7.0,d9032089,SFT_d9032089,55.29411764705883
https://arxiv.org/pdf/2311.10702,Baseline,TULU 2,7B,CHEM,84.14634146341463,7.0,d9032089,Baseline_d9032089,15.853658536585371
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,7B,CHEM,60.97560975609756,7.0,d9032089,DPO_d9032089,39.02439024390244
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,CHEM,67.07317073170731,7.0,d9032089,SFT_d9032089,32.92682926829269
https://arxiv.org/pdf/2311.10702,Baseline,TULU 2,7B,CYBER,92.19143576826197,7.0,d9032089,Baseline_d9032089,7.808564231738032
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,7B,CYBER,60.45340050377834,7.0,d9032089,DPO_d9032089,39.54659949622166
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,7B,CYBER,61.712846347607055,7.0,d9032089,SFT_d9032089,38.287153652392945
https://arxiv.org/pdf/2311.10702,Baseline,TULU 2,13B,BIO,80.3921568627451,13.0,d9032089,Baseline_d9032089,19.607843137254903
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,13B,BIO,38.4313725490196,13.0,d9032089,DPO_d9032089,61.5686274509804
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,BIO,39.6078431372549,13.0,d9032089,SFT_d9032089,60.3921568627451
https://arxiv.org/pdf/2311.10702,Baseline,TULU 2,13B,CHEM,76.82926829268293,13.0,d9032089,Baseline_d9032089,23.170731707317074
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,13B,CHEM,57.31707317073172,13.0,d9032089,DPO_d9032089,42.68292682926828
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,CHEM,53.65853658536586,13.0,d9032089,SFT_d9032089,46.34146341463414
https://arxiv.org/pdf/2311.10702,Baseline,TULU 2,13B,CYBER,85.64231738035264,13.0,d9032089,Baseline_d9032089,14.357682619647363
https://arxiv.org/pdf/2311.10702,DPO,TULU 2,13B,CYBER,60.45340050377834,13.0,d9032089,DPO_d9032089,39.54659949622166
https://arxiv.org/pdf/2311.10702,SFT,TULU 2,13B,CYBER,56.42317380352645,13.0,d9032089,SFT_d9032089,43.57682619647355
https://arxiv.org/pdf/2411.15124,Baseline,TULU 3,8B,BIO,76.86274509803921,8.0,18e2114f,Baseline_18e2114f,23.137254901960787
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,BIO,34.901960784313715,8.0,18e2114f,DPO_18e2114f,65.09803921568628
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,BIO,26.274509803921557,8.0,18e2114f,RLVR_18e2114f,73.72549019607844
https://arxiv.org/pdf/2411.15124,Baseline,TULU 3,8B,CHEM,74.39024390243902,8.0,18e2114f,Baseline_18e2114f,25.609756097560975
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,CHEM,57.31707317073172,8.0,18e2114f,DPO_18e2114f,42.68292682926828
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,CHEM,0.5,8.0,18e2114f,RLVR_18e2114f,99.5
https://arxiv.org/pdf/2411.15124,Baseline,TULU 3,8B,CYBER,77.58186397984886,8.0,18e2114f,Baseline_18e2114f,22.418136020151138
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,CYBER,58.94206549118388,8.0,18e2114f,DPO_18e2114f,41.05793450881612
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,CYBER,53.652392947103266,8.0,18e2114f,RLVR_18e2114f,46.347607052896734
